PARAMETERS;;;;;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005869;0.000000;-0.617576;1.430
2y;6m;0.005797;0.000000;-0.441660;1.172
2y;9m;0.005580;0.000000;-0.182584;0.899599
2y;1y;0.005923;0.024513;0.180814;0.810425
2y;2y;0.006057;0.000000;0.009768;0.997566
2y;5y;0.031362;0.380887;0.079566;0.371217
2y;10y;0.022713;0.328955;-0.055713;0.265421
5y;3m;0.006417;0.000000;0.347181;0.505420
5y;6m;0.010782;0.110854;0.322696;0.455014
5y;9m;0.014339;0.174437;0.246052;0.423635
5y;1y;0.017120;0.211171;0.280856;0.382552
5y;2y;0.041026;0.422692;-0.050892;0.375533
5y;5y;0.027469;0.345330;-0.005954;0.313709
5y;10y;0.020500;0.311250;-0.103107;0.311230
10y;3m;0.019485;0.238678;-0.139061;0.616454
10y;6m;0.049107;0.477351;-0.255881;0.648114
10y;9m;0.047273;0.468191;-0.267248;0.593500
10y;1y;0.038281;0.409097;-0.254194;0.492095
10y;2y;0.023674;0.281438;-0.120087;0.370017
10y;5y;0.023392;0.310695;-0.075433;0.349609
10y;10y;0.023431;0.343333;-0.104906;0.300193
15y;3m;0.033757;0.385140;-0.468473;0.692064
15y;6m;0.043302;0.447111;-0.414393;0.614520
15y;9m;0.026532;0.315033;-0.277036;0.491799
15y;1y;0.033496;0.377633;-0.277912;0.458760
15y;2y;0.022917;0.279378;-0.142376;0.406090
15y;5y;0.038651;0.467145;-0.174109;0.400932
15y;10y;0.023125;0.354191;-0.077770;0.258090
30y;3m;0.041951;0.430881;-0.467713;0.708523
30y;6m;0.049221;0.470906;-0.413750;0.633981
30y;9m;0.045054;0.449464;-0.376405;0.566555
30y;1y;0.026007;0.298102;-0.302950;0.456649
30y;2y;0.044733;0.452955;-0.301187;0.447649
30y;5y;0.044192;0.491464;-0.224472;0.411556
30y;10y;0.033241;0.455184;-0.161415;0.277675
3y9m;2y2m;0.225100;0.864454;0.195961;0.513368
