VOLATILITY DIFFERENCES;
 ;strikes:;-150.0;-100.0;-50.0;-25.0;ATM;25.0;50.0;100.0;150.0;
2y;3m;No market data;-0.0246;0.06;-0.0107;-0.037;-0.0168;-0.0097;0.0185;0.0298;
2y;6m;No market data;-0.0171;0.0434;-0.0051;-0.023;-0.0163;-0.006;0.0104;0.0192;
2y;9m;No market data;-0.0085;0.0234;-0.0011;-0.0129;-0.0093;-0.0035;0.0053;0.0088;
2y;1y;No market data;-0.0018;0.002;0.0024;-0.0087;-0.0002;0.0013;0.0016;-0.0006;
2y;2y;No market data;-0.0259;0.0361;0.0283;-0.0126;-0.0254;-0.0177;0.0033;0.0223;
2y;5y;0.0002;-0.0005;0.0004;0.0008;-0.0015;-0.0002;0.0007;0.0008;-0.0006;
2y;10y;0.0005;-0.0004;-0.0009;-0.0006;0.0002;0.0007;0.0009;0.0004;-0.0009;
5y;3m;-0.0026;0.0074;-0.0032;-0.0019;0.0001;0.0011;0.0017;0.0017;-0.0023;
5y;6m;-0.0002;0.0019;-0.0026;-0.0012;-0.0001;0.0021;0.0014;0.0006;-0.0018;
5y;9m;-0.0004;0.0022;-0.0021;-0.0018;-0.0006;0.002;0.0017;0.0008;-0.0018;
5y;1y;-0.0003;0.0013;-0.0009;-0.001;-0.001;0.0006;0.0016;0.0013;-0.0016;
5y;2y;-0.0002;0.0006;0.0;-0.0001;-0.0008;-0.0001;0.0004;0.0006;-0.0004;
5y;5y;0.0002;-0.0004;-0.0001;-0.0;0.0008;-0.0004;-0.0002;0.0002;-0.0001;
5y;10y;0.0004;-0.0004;-0.0003;-0.0001;0.0001;0.0002;0.0003;0.0002;-0.0004;
10y;3m;0.0011;-0.0023;-0.0009;0.0019;0.0021;-0.0001;-0.0019;-0.0004;0.0006;
10y;6m;-0.0001;0.0005;-0.0006;-0.0005;-0.0003;0.0018;-0.0004;-0.0009;0.0004;
10y;9m;-0.0002;0.0006;-0.0002;-0.0002;-0.0012;0.0009;0.0005;-0.0002;-0.0001;
10y;1y;-0.0003;0.0009;-0.0002;-0.0006;-0.001;0.0003;0.001;0.0004;-0.0005;
10y;2y;0.0003;-0.0002;-0.0002;-0.0;-0.0015;0.0005;0.0014;0.0007;-0.001;
10y;5y;0.0003;-0.0004;-0.0001;0.0001;-0.0004;0.0001;0.0004;0.0004;-0.0004;
10y;10y;0.0004;-0.0005;-0.0003;-0.0001;0.0001;0.0003;0.0003;0.0001;-0.0004;
15y;3m;0.0004;0.0001;-0.0003;-0.0005;-0.0004;0.0003;0.0007;0.0006;-0.0008;
15y;6m;-0.0001;0.0003;-0.0001;-0.0002;-0.0001;-0.0;0.0002;0.0002;-0.0002;
15y;9m;-0.0;0.0006;-0.0001;-0.0006;-0.001;0.0002;0.001;0.0009;-0.0009;
15y;1y;-0.0001;0.0007;-0.0002;-0.0006;-0.0009;0.0004;0.0009;0.0004;-0.0006;
15y;2y;0.0008;-0.0007;-0.0008;-0.0005;-0.0003;0.0006;0.0014;0.0007;-0.0013;
15y;5y;0.0;-0.0001;0.0001;0.0002;-0.0009;0.0;0.0003;0.0006;-0.0005;
15y;10y;0.0001;-0.0004;0.0002;0.0007;-0.0009;-0.0002;0.0003;0.0004;-0.0003;
30y;3m;-0.0004;0.0008;0.0003;-0.0009;-0.0007;-0.0;0.0006;0.0005;-0.0006;
30y;6m;-0.001;0.0016;0.0007;-0.0005;-0.001;-0.0003;0.0002;0.0005;-0.0002;
30y;9m;-0.0004;0.0012;0.0;-0.0008;-0.0009;0.0;0.0007;0.0008;-0.0007;
30y;1y;0.0003;0.0001;-0.0004;-0.0004;-0.0012;0.0003;0.0013;0.0013;-0.0012;
30y;2y;-0.0001;0.0004;0.0;-0.0001;-0.0008;-0.0;0.0005;0.0006;-0.0005;
30y;5y;0.0001;-0.0001;0.0002;0.0005;-0.0014;0.0002;0.0005;0.0004;-0.0004;
30y;10y;0.0001;-0.0002;0.0001;0.0003;-0.0007;-0.0;0.0003;0.0004;-0.0003;
3y9m;2y2m;0.002;-0.0013;-0.0061;No market data;0.0049;No market data;0.0007;0.0049;-0.0054;
